PhraseId	SentenceId	Phrase	Sentiment
126562	6805	snail-like pacing	0
8475	351	be more like hell	0
110395	5848	'll trudge out of the theater feeling as though you rode the Zipper after eating a corn dog and an extra-large cotton candy .	0
72452	3702	numbingly dull	0
130556	7034	serviceable at worst	0
66375	3366	The thing just never gets off the ground .	0
8156	336	visually atrocious	0
16870	730	burn the negative and the script and	0
125711	6754	to have forgotten everything he ever knew about generating suspense	0
14295	616	insultingly inept and artificial	0
142933	7759	The whole mess boils down to a transparently hypocritical work that feels as though it 's trying to set the women 's liberation movement back 20 years . '	0
73472	3755	is -RRB- a fascinating character , and deserves a better vehicle than this facetious smirk of a movie .	0
2806	108	is so consistently unimaginative that probably the only way to have saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys .	0
143336	7780	he is overwhelmed by predictability	0
67638	3435	do n't think most of the people who loved the 1989 Paradiso will prefer this new version	0
109161	5780	positively dreadful	0
121825	6528	the plot , and a maddeningly insistent and repetitive piano score that made me want to scream	0
137328	7431	, this nasty comedy pokes fun at the same easy targets as other rowdy raunch-fests -- farts , boobs , unmentionables -- without much success .	0
110671	5864	a drowsy drama infatuated by its own pretentious self-examination	0
144035	7817	meandering and pointless French coming-of-age import	0
22212	996	this disappointed by a movie in a long time	0
109498	5800	that should be relegated to a dark video store corner	0
5866	234	be me : fighting off the urge to doze	0
117592	6275	Spreads itself too thin , leaving these actors , as well as the members of the commune , short of profound characterizations	0
1132	41	of narrative banality	0
5877	235	Thoughtless , random , superficial humour and a lot of very bad Scouse accents	0
44620	2163	Enough said , except : Film overboard !	0
99176	5201	formulaic , its plot and pacing typical Hollywood war-movie stuff ,	0
48668	2376	the movie around them is so often nearly nothing that their charm does n't do a load of good	0
31007	1445	This wretchedly unfunny wannabe comedy is inane and awful	0
110997	5881	its hackneyed and meanspirited storyline with cardboard characters and performers who	0
32452	1521	sounds whiny and defensive , as if his life-altering experiences made him bitter and less mature	0
115489	6153	hard to imagine any recent film , independent or otherwise , that makes as much of a mess as this one	0
152897	8346	miserably	0
90795	4724	it dull , lifeless , and irritating	0
135189	7297	must have been astronomically bad	0
106371	5617	An almost unbearably morbid	0
154691	8460	This pathetic junk	0
90450	4707	predictable plotting and tiresome histrionics	0
92898	4839	might I suggest that the wayward wooden one end it all by stuffing himself into an electric pencil sharpener	0
108384	5736	is so convinced of its own brilliance that , if it were a person , you 'd want to smash its face in .	0
125725	6755	the script is about as interesting as a recording of conversations at the Wal-Mart checkout line	0
28124	1292	The Sweetest Thing leaves a bitter taste .	0
6071	242	hollow at its emotional core	0
80749	4161	Do n't even bother to rent this on video	0
28005	1286	of too many chefs fussing over too weak a recipe	0
29918	1387	is if you have a case of masochism and an hour and a half to blow	0
128020	6886	several times here and reveals how bad an actress she is .	0
109693	5813	the sort of low-grade dreck that usually goes straight to video -- with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography , complete with visible boom mikes	0
134695	7270	be another shameless attempt by Disney	0
74175	3800	Utter mush ...	0
129944	6995	horribly wrong	0
7691	311	Uneven performances and a spotty script	0
73003	3728	that screams out ` amateur ' in almost every frame	0
19083	837	the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle .	0
137742	7454	No Such Thing is a big letdown .	0
150678	8213	The satire is unfocused , while the story goes nowhere .	0
42452	2046	be at the dollar theatres by the time Christmas rolls around	0
58743	2962	for the most part , The Weight of Water comes off as a two-way time-switching myopic mystery that stalls in its lackluster gear of emotional blandness .	0
95721	5000	's as sorry a mess as its director 's diabolical debut , Mad Cows .	0
76933	3956	Staggers between flaccid satire and what is supposed to be madcap farce .	0
154977	8478	recycle images and characters that were already tired 10 years ago	0
36679	1737	self-control to guide a loose , poorly structured film through the pitfalls of incoherence and redundancy	0
12080	518	which is worse : the poor acting by the ensemble cast , the flat dialogue by Vincent R. Nebrida or the gutless direction by Laurice Guillen	0
47041	2294	impenetrable and insufferable ball	0
144871	7866	as bad a film	0
18386	804	Kitschy , flashy , overlong soap opera .	0
13955	601	a squirm-inducing fish-out-of-water formula that goes nowhere and goes there very , very slowly	0
73233	3740	further demonstrates just how far his storytelling skills have eroded .	0
29549	1368	bad movie	0
121783	6526	The innate theatrics that provide its thrills and extreme emotions lose their luster when flattened onscreen .	0
123369	6624	which half of Dragonfly is worse : The part where nothing 's happening , or the part where something 's happening	0
125909	6763	leaden and predictable	0
109145	5780	imagine , as searching for a quarter in a giant pile of elephant feces ... positively dreadful	0
103563	5461	takes every potential laugh and stiletto-stomps the life out of it	0
133864	7223	are simultaneously buried , drowned and smothered in the excesses of writer-director Roger Avary	0
62804	3178	that for the most part , the film is deadly dull	0
42920	2073	left an acrid test in this gourmet 's mouth	0
